2020-01-01-00-00-59;2020-01-01-00-35-29
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
2;0
18;0
49;0
93;0
347;0
1558;0
2967;0
5868;0
7512;0
8779;0
10158;0
11063;0
11787;0
11938;0
11863;0
11657;0
11156;0
11609;0
11718;0
11404;0
11121;0
11295;0
11216;0
10135;0
11237;0
10428;0
10559;0
9941;0
10076;0
9730;0
9539;0
9352;0
9162;0
8642;0
8963;0
8491;0
8141;0
7875;0
7846;0
7829;0
7412;0
7335;0
7281;0
6884;0
6717;0
6692;0
6489;0
6229;0
6035;0
6062;0
5881;0
5736;0
5484;0
5438;0
5217;0
5165;0
4779;0
4786;0
4810;0
4648;0
4667;0
4403;0
4237;0
4157;0
3916;0
4005;0
3845;0
3783;0
3775;0
3681;0
3502;0
3624;0
3401;0
3215;0
3140;0
3060;0
3063;0
2819;0
2854;0
2839;0
2572;0
2582;0
2481;0
2457;0
2519;0
2423;0
2345;0
1933;0
2359;0
2141;0
2138;0
1984;0
1993;0
1931;0
1902;0
1779;0
1783;0
1708;0
1659;0
1649;0
1558;0
1544;0
1592;0
1478;0
1516;0
1435;0
1336;0
1292;0
1380;0
1246;0
1254;0
1228;0
1152;0
1060;0
1162;0
1044;0
1046;0
1051;0
1017;0
833;0
910;0
920;0
870;0
901;0
882;0
843;0
825;0
804;0
786;0
791;0
716;0
721;0
706;0
654;0
655;0
658;0
594;0
645;0
606;0
577;0
566;0
544;0
477;0
495;0
489;0
512;0
519;0
432;0
447;0
464;0
448;0
389;0
435;0
437;0
449;0
393;0
368;0
330;0
399;0
335;0
342;0
292;0
331;0
326;0
291;0
304;0
294;0
315;0
283;0
260;0
270;0
266;0
283;0
268;0
244;0
212;0
232;0
246;0
232;0
210;0
185;0
202;0
175;0
161;0
185;0
212;0
173;0
167;0
171;0
179;0
159;0
174;0
156;0
158;0
149;0
127;0
134;0
146;0
128;0
163;0
133;0
124;0
142;0
135;0
112;0
124;0
118;0
132;0
95;0
124;0
98;0
98;0
85;0
86;0
89;0
49;0
107;0
78;0
82;0
89;0
69;0
90;0
92;0
69;0
88;0
84;0
72;0
87;0
81;0
87;0
85;0
71;0
68;0
68;0
67;0
61;0
60;0
67;0
72;0
56;0
56;0
57;0
60;0
53;0
56;0
52;0
49;0
38;0
55;0
49;0
65;0
62;0
49;0
43;0
53;0
52;0
41;0
50;0
43;0
52;0
40;0
54;0
58;0
37;0
