2020-01-01-00-00-46;2020-01-01-00-23-20
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
1;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
16;0
126;0
4305;0
4925;0
4716;0
4564;0
4378;0
4269;0
4020;0
4008;0
3689;0
3704;0
3725;0
3383;0
3263;0
3239;0
2985;0
2934;0
2856;0
2825;0
2695;0
2449;0
2337;0
2419;0
2243;0
2207;0
2171;0
2096;0
1849;0
1998;0
1841;0
1870;0
1603;0
1665;0
1559;0
1589;0
1461;0
1302;0
1320;0
1326;0
1224;0
1194;0
1172;0
1085;0
1149;0
1066;0
980;0
1006;0
911;0
888;0
865;0
771;0
789;0
724;0
712;0
722;0
682;0
646;0
645;0
535;0
580;0
530;0
486;0
512;0
481;0
476;0
447;0
468;0
408;0
406;0
366;0
384;0
334;0
342;0
302;0
301;0
312;0
314;0
277;0
265;0
252;0
298;0
342;0
422;0
465;0
469;0
557;0
564;0
571;0
534;0
623;0
605;0
525;0
578;0
431;0
364;0
240;0
201;0
145;0
134;0
108;0
101;0
95;0
115;0
101;0
96;0
94;0
74;0
76;0
72;0
69;0
81;0
77;0
70;0
62;0
72;0
68;0
62;0
49;0
40;0
56;0
52;0
44;0
51;0
37;0
38;0
44;0
52;0
40;0
36;0
33;0
35;0
42;0
39;0
30;0
34;0
30;0
31;0
25;0
29;0
38;0
32;0
25;0
41;0
22;0
39;0
30;0
22;0
25;0
20;0
24;0
27;0
17;0
26;0
22;0
16;0
11;0
25;0
24;0
21;0
13;0
23;0
22;0
20;0
14;0
13;0
19;0
15;0
16;0
17;0
19;0
15;0
15;0
26;0
16;0
11;0
18;0
10;0
17;0
16;0
14;0
6;0
14;0
15;0
6;0
22;0
19;0
11;0
15;0
11;0
21;0
9;0
9;0
12;0
14;0
19;0
15;0
17;0
11;0
12;0
4;0
11;0
10;0
15;0
11;0
8;0
11;0
17;0
13;0
14;0
7;0
10;0
12;0
6;0
9;0
9;0
15;0
15;0
9;0
13;0
5;0
14;0
9;0
4;0
9;0
6;0
6;0
10;0
6;0
10;0
8;0
11;0
3;0
12;0
9;0
15;0
8;0
12;0
5;0
4;0
8;0
6;0
7;0
9;0
6;0
4;0
13;0
10;0
6;0
8;0
4;0
10;0
5;0
3;0
4;0
7;0
6;0
6;0
11;0
4;0
10;0
12;0
4;0
6;0
6;0
7;0
6;0
4;0
8;0
8;0
7;0
8;0
2;0
7;0
4;0
6;0
2;0
11;0
4;0
8;0
3;0
7;0
7;0
8;0
3;0
7;0
