2020-01-01-00-10-38;2020-01-01-00-20-37
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
5;0
34;0
640;0
2233;0
2354;0
2440;0
2400;0
2290;0
2203;0
2150;0
2202;0
2025;0
2154;0
1924;0
1977;0
1971;0
1898;0
1770;0
1839;0
1660;0
1716;0
1643;0
1566;0
1589;0
1491;0
1477;0
1485;0
1290;0
1360;0
1276;0
1265;0
1174;0
1295;0
1173;0
1106;0
1108;0
1123;0
1054;0
1069;0
959;0
1020;0
977;0
983;0
897;0
917;0
828;0
848;0
774;0
804;0
762;0
760;0
672;0
706;0
727;0
708;0
593;0
664;0
651;0
606;0
584;0
537;0
547;0
496;0
518;0
457;0
487;0
462;0
448;0
455;0
411;0
465;0
396;0
379;0
405;0
392;0
332;0
337;0
338;0
336;0
343;0
333;0
312;0
323;0
304;0
276;0
262;0
219;0
242;0
234;0
219;0
246;0
215;0
217;0
206;0
200;0
155;0
194;0
186;0
200;0
174;0
175;0
148;0
157;0
156;0
140;0
121;0
142;0
140;0
141;0
138;0
126;0
136;0
118;0
98;0
129;0
109;0
102;0
82;0
82;0
74;0
91;0
93;0
96;0
81;0
78;0
79;0
78;0
61;0
77;0
81;0
77;0
71;0
58;0
55;0
65;0
54;0
49;0
58;0
60;0
47;0
37;0
41;0
47;0
67;0
34;0
34;0
42;0
35;0
33;0
53;0
26;0
33;0
26;0
33;0
28;0
27;0
33;0
34;0
34;0
21;0
27;0
27;0
31;0
18;0
25;0
34;0
21;0
24;0
19;0
36;0
32;0
22;0
26;0
27;0
23;0
16;0
25;0
16;0
20;0
10;0
21;0
14;0
17;0
14;0
15;0
11;0
16;0
10;0
18;0
17;0
19;0
15;0
14;0
16;0
9;0
9;0
7;0
16;0
18;0
11;0
9;0
13;0
16;0
10;0
14;0
12;0
6;0
6;0
7;0
9;0
11;0
5;0
12;0
10;0
10;0
10;0
3;0
14;0
14;0
7;0
5;0
4;0
13;0
9;0
11;0
11;0
12;0
11;0
15;0
4;0
14;0
8;0
8;0
3;0
10;0
11;0
6;0
8;0
7;0
7;0
6;0
5;0
7;0
2;0
9;0
6;0
7;0
3;0
8;0
7;0
3;0
2;0
2;0
5;0
3;0
6;0
4;0
6;0
10;0
6;0
5;0
4;0
3;0
8;0
7;0
10;0
5;0
4;0
7;0
7;0
8;0
4;0
5;0
3;0
7;0
2;0
6;0
3;0
5;0
5;0
6;0
2;0
3;0
4;0
5;0
3;0
4;0
6;0
3;0
3;0
5;0
