2020-01-01-00-00-55;2020-01-01-00-17-10
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
3;0
7;0
26;0
127;0
822;0
2145;0
3189;0
3701;0
3596;0
3604;0
3558;0
3543;0
3272;0
3244;0
3197;0
3076;0
2983;0
2820;0
2875;0
2683;0
2655;0
2443;0
2321;0
2448;0
2267;0
2188;0
2176;0
2061;0
1974;0
1994;0
1950;0
1790;0
1755;0
1688;0
1510;0
1611;0
1490;0
1516;0
1430;0
1398;0
1377;0
1257;0
1185;0
1207;0
1163;0
1115;0
1088;0
1020;0
1046;0
907;0
998;0
890;0
892;0
847;0
789;0
726;0
787;0
690;0
729;0
675;0
658;0
639;0
624;0
549;0
599;0
534;0
490;0
528;0
442;0
519;0
455;0
447;0
427;0
418;0
379;0
348;0
365;0
325;0
292;0
322;0
323;0
287;0
273;0
292;0
245;0
254;0
240;0
223;0
220;0
198;0
209;0
199;0
204;0
177;0
162;0
179;0
159;0
166;0
148;0
149;0
145;0
155;0
136;0
121;0
114;0
119;0
117;0
104;0
102;0
110;0
88;0
74;0
88;0
84;0
82;0
83;0
80;0
84;0
80;0
68;0
65;0
72;0
61;0
60;0
66;0
64;0
64;0
59;0
57;0
47;0
39;0
44;0
47;0
44;0
53;0
52;0
42;0
33;0
34;0
46;0
39;0
53;0
31;0
28;0
35;0
23;0
26;0
24;0
38;0
40;0
30;0
31;0
30;0
25;0
29;0
18;0
17;0
29;0
22;0
25;0
17;0
26;0
17;0
29;0
12;0
19;0
21;0
24;0
29;0
20;0
19;0
22;0
13;0
14;0
19;0
21;0
26;0
16;0
15;0
14;0
16;0
9;0
20;0
21;0
15;0
17;0
19;0
26;0
12;0
10;0
14;0
12;0
10;0
13;0
13;0
13;0
17;0
20;0
14;0
14;0
4;0
18;0
12;0
10;0
14;0
9;0
7;0
10;0
11;0
4;0
10;0
10;0
12;0
13;0
13;0
9;0
11;0
10;0
10;0
6;0
9;0
12;0
6;0
11;0
11;0
9;0
7;0
19;0
25;0
44;0
35;0
47;0
45;0
48;0
52;0
51;0
52;0
46;0
23;0
19;0
13;0
9;0
9;0
10;0
11;0
4;0
7;0
6;0
3;0
7;0
8;0
14;0
9;0
8;0
8;0
12;0
6;0
8;0
8;0
5;0
3;0
7;0
9;0
6;0
4;0
3;0
5;0
9;0
9;0
10;0
16;0
38;0
65;0
79;0
115;0
156;0
209;0
207;0
239;0
283;0
265;0
239;0
261;0
257;0
204;0
167;0
104;0
65;0
44;0
23;0
9;0
15;0
14;0
