2020-01-01-00-00-21;2020-01-01-00-23-50
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
14;0
100;0
311;0
4040;0
11469;0
16723;0
16627;0
16233;0
15714;0
14987;0
14972;0
13730;0
13216;0
12135;0
12716;0
11628;0
11590;0
10629;0
10255;0
9778;0
9526;0
8906;0
8665;0
8149;0
7851;0
7358;0
7074;0
6660;0
6351;0
6435;0
5730;0
5508;0
5491;0
5044;0
4874;0
4642;0
4466;0
4238;0
3855;0
3755;0
3686;0
3468;0
3236;0
3066;0
3039;0
2615;0
2864;0
2532;0
2435;0
2259;0
2283;0
2117;0
2007;0
1903;0
1808;0
1679;0
1658;0
1521;0
1412;0
1368;0
1279;0
1338;0
1216;0
1078;0
1099;0
1026;0
923;0
949;0
873;0
845;0
794;0
738;0
728;0
696;0
655;0
573;0
553;0
497;0
487;0
519;0
515;0
510;0
436;0
401;0
353;0
359;0
338;0
323;0
316;0
289;0
291;0
282;0
255;0
280;0
222;0
212;0
210;0
195;0
198;0
215;0
168;0
181;0
167;0
151;0
144;0
137;0
131;0
130;0
135;0
104;0
129;0
123;0
122;0
103;0
88;0
74;0
79;0
90;0
82;0
80;0
98;0
71;0
86;0
67;0
67;0
68;0
88;0
46;0
64;0
64;0
64;0
52;0
58;0
62;0
57;0
61;0
50;0
62;0
42;0
42;0
42;0
36;0
41;0
48;0
54;0
38;0
37;0
34;0
36;0
35;0
30;0
36;0
40;0
33;0
26;0
28;0
35;0
40;0
17;0
35;0
22;0
32;0
23;0
29;0
32;0
32;0
25;0
28;0
30;0
32;0
28;0
21;0
20;0
14;0
18;0
25;0
23;0
26;0
23;0
24;0
16;0
34;0
29;0
15;0
21;0
19;0
16;0
27;0
23;0
21;0
18;0
22;0
21;0
20;0
12;0
14;0
17;0
16;0
21;0
14;0
16;0
13;0
17;0
12;0
19;0
10;0
12;0
12;0
13;0
13;0
11;0
16;0
14;0
13;0
15;0
8;0
13;0
22;0
16;0
9;0
16;0
18;0
8;0
22;0
5;0
12;0
12;0
9;0
11;0
14;0
18;0
10;0
10;0
13;0
13;0
10;0
10;0
8;0
16;0
13;0
15;0
13;0
17;0
18;0
11;0
5;0
7;0
6;0
5;0
15;0
10;0
7;0
9;0
7;0
6;0
8;0
14;0
9;0
9;0
15;0
10;0
7;0
13;0
9;0
7;0
7;0
12;0
5;0
9;0
7;0
6;0
10;0
12;0
9;0
8;0
11;0
7;0
8;0
10;0
5;0
8;0
6;0
8;0
7;0
5;0
9;0
6;0
17;0
10;0
12;0
7;0
9;0
8;0
11;0
10;0
7;0
8;0
9;0
7;0
